yearID,feat1,feat2,feat3,feat4,feat5,feat6,feat7
1995,0,0,0,0,0,0,0
1996,0,0,0,0,0,0,0
1997,0,1,0,0,0,0,0
1998,0,1,0,0,0,0,0
1999,0,1,0,0,0,0,0
2000,0,1,0,0,0,0,0
2001,0,1,0,0,0,0,0
2002,0,1,0,0,0,0,0
2003,0,1,0,0,0,0,0
2004,0,1,0,0,0,0,0
2005,0,1,0,0,0,0,0
2006,0,1,0,0,0,0,0
2007,1,1,1,1,1,0,0
2008,1,1,1,1,1,0,0
2009,1,1,1,1,1,0,0
2010,1,1,1,1,1,0,0
2011,1,1,1,1,1,0,0
2012,1,1,1,0,0,1,1
2013,1,1,1,0,0,1,1
2014,1,1,1,0,0,1,1
2015,1,1,1,0,0,1,1
2016,1,1,1,0,0,1,1
2017,1,1,1,0,0,1,1
2018,1,1,1,0,0,1,1
